date,home_team,away_team,home_team_last_5_games,away_team_last_5_games,home_elo_rating,away_elo_rating,result
2019-03-03,Bolivia,Nicaragua,6,8,1655,1278,tie
2019-03-04,Barbados,Grenada,7,3,1133,1069,win
2019-03-06,El Salvador,Guatemala,9,3,1452,1495,win
2019-03-09,Cambodia,Bangladesh,3,9,795,798,lose
2019-03-18,Fiji,New Caledonia,4,5,1207,1218,win
2019-03-19,Myanmar,Taiwan,8,7,1060,975,tie
2019-03-20,Germany,Serbia,5,11,1937,1813,tie
2019-03-20,Wales,Trinidad and Tobago,6,3,1760,1433,win
2019-03-21,Kosovo,Denmark,11,9,1496,1897,tie
2019-03-21,Kuwait,Nepal,7,7,1439,884,tie
2019-03-21,Mauritius,New Caledonia,4,4,1071,1218,win
2019-03-21,United Arab Emirates,Saudi Arabia,10,6,1484,1583,win
2019-03-21,United States,Ecuador,9,7,1742,1773,win
2019-03-21,Northern Ireland,Estonia,4,7,1622,1467,win
2019-03-21,Netherlands,Belarus,11,10,1984,1538,win
2019-03-21,Croatia,Azerbaijan,10,7,1923,1403,win
2019-03-21,Slovakia,Hungary,7,7,1747,1610,win
2019-03-21,Austria,Poland,7,4,1765,1751,lose
2019-03-21,Israel,Slovenia,10,4,1561,1561,tie
2019-03-21,Cyprus,San Marino,5,0,1414,835,win
2019-03-21,Belgium,Russia,10,4,2034,1751,win
2019-03-21,Kazakhstan,Scotland,10,6,1330,1720,win
2019-03-22,Argentina,Venezuela,9,8,1921,1756,lose
2019-03-22,Guatemala,Costa Rica,3,6,1495,1724,win
2019-03-22,Japan,Colombia,9,13,1730,1960,lose
2019-03-22,South Korea,Bolivia,12,3,1778,1655,win
2019-03-22,Mexico,Chile,6,6,1779,1851,win
2019-03-22,Bulgaria,Montenegro,6,4,1628,1588,tie
2019-03-22,England,Czech Republic,13,9,1959,1728,win
2019-03-22,Portugal,Ukraine,9,6,1958,1772,tie
2019-03-22,Luxembourg,Lithuania,7,0,1347,1338,win
2019-03-22,Albania,Turkey,4,5,1514,1690,lose
2019-03-22,Andorra,Iceland,2,6,1084,1668,lose
2019-03-22,Moldova,France,5,10,1323,2092,lose
2019-03-22,Botswana,Angola,4,12,1317,1322,lose
2019-03-22,Sudan,Equatorial Guinea,3,6,1275,1293,lose
2019-03-22,Malawi,Morocco,2,11,1250,1728,tie
2019-03-22,Algeria,Gambia,10,6,1541,1303,tie
2019-03-22,Nigeria,Seychelles,11,1,1712,967,win
